content
{"worker":"WORKFLOW_MGR    ","timestamp":"2024-03-21 15:35:10", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Fetching request status from the DB. Current status is initializing workflow."}
 {"worker":"WORKFLOW_MGR    ","timestamp":"2024-03-21 15:35:10", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Requesting PACS retrieve."}
 {"worker":"WORKFLOW_MGR    ","timestamp":"2024-03-21 15:35:10", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Calling status update subprocess."}
 {"worker":"WORKFLOW_MGR    ","timestamp":"2024-03-21 15:35:10", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"0 subprocess of status manager running on the system."}
 {"worker":"WORKFLOW_MGR    ","timestamp":"2024-03-21 15:35:12", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Sleeping for 10 seconds."}
 {"worker":"STATUS_MGR      ","timestamp":"2024-03-21 15:35:12", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Working on fetching the current status, locking DB flag."}
 {"worker":"STATUS_MGR      ","timestamp":"2024-03-21 15:35:13", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Registered files are: 15"}
 {"worker":"STATUS_MGR      ","timestamp":"2024-03-21 15:35:13", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Total number of files in this request: 192."}
 {"worker":"STATUS_MGR      ","timestamp":"2024-03-21 15:35:13", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Current status is registering to CUBE."}
 {"worker":"STATUS_MGR      ","timestamp":"2024-03-21 15:35:13", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Finished writing updated status to the DB, releasing lock."}
 {"worker":"WORKFLOW_MGR    ","timestamp":"2024-03-21 15:35:22", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Fetching request status from DB. Current status is registering to CUBE."}
 {"worker":"WORKFLOW_MGR    ","timestamp":"2024-03-21 15:35:22", "db_key":"44451cfe0bc3cfc092a79eebcbc95dbb", "level":"INFO    ", "msg":"Registering progress is 8% complete."}
